Date,High,Low,Open,Close,Volume,Adj Close,MA_5,MA_10,MA_20,MA_30,VOL_5,VOL_10,VOL_20,VOL_30,green,ma_break_all_avg,ma_break_30_avg,tmrw_high_open,tmrw_succeed_all_avg,tmrw_red
2021-07-14,23.8700008392334,23.34000015258789,23.34000015258789,23.440000534057617,3747036.0,23.440000534057617,23.395999908447266,23.49099998474121,23.858999919891357,24.456666564941408,3450051.8,3917298.7,4522421.4,5744503.633333334,False,False,True,False,False,False
2021-07-15,23.43000030517578,21.61000061035156,23.399999618530277,22.25,6127382.0,22.25,23.202000045776366,23.339999961853028,23.798499965667723,24.269333203633625,3760265.8,4135243.7,4539301.0,5277232.2,True,True,True,False,False,False
2021-07-16,22.350000381469727,21.299999237060547,22.07999992370605,21.299999237060547,5671897.0,21.299999237060547,22.770000076293947,23.14699993133545,23.67849988937378,24.074999872843424,4347234.4,4377069.7,4618620.65,5067082.033333333,True,True,True,False,False,False
2021-07-19,21.450000762939453,21.030000686645508,21.200000762939453,21.11000061035156,2514493.0,21.11000061035156,22.286000061035157,22.945999908447266,23.526499938964843,23.899666531880698,4225346.8,4352348.2,4541613.65,4778445.066666666,True,True,True,True,False,True
2021-07-20,21.799999237060547,21.15999984741211,21.31999969482422,21.40999984741211,3143711.0,21.40999984741211,21.90200004577637,22.686999893188478,23.355499935150146,23.753333218892415,4240903.8,3912075.4,4352340.6,4641607.333333333,False,True,True,True,False,False
2021-07-21,21.559999465942383,21.200000762939453,21.440000534057617,21.40999984741211,2669133.0,21.40999984741211,21.495999908447267,22.445999908447266,23.213999938964843,23.6236665725708,4025323.2,3737687.5,4262331.65,4509064.466666667,True,True,True,False,False,True
2021-07-22,21.5,21.26000022888184,21.3700008392334,21.3799991607666,2571985.0,21.3799991607666,21.321999740600585,22.261999893188477,23.01599988937378,23.47233320871989,3314243.8,3537254.8,3927729.5,4416173.333333333,False,False,True,False,False,False
2021-07-23,21.440000534057617,19.82999992370605,21.3799991607666,20.0,6150844.0,20.0,21.061999893188478,21.915999984741212,22.783999919891357,23.300999895731607,3410033.2,3878633.8,3933915.1,4410716.633333334,True,True,True,True,False,False
2021-07-26,20.059999465942383,19.020000457763672,20.020000457763672,19.11000061035156,3930762.0,19.11000061035156,20.661999893188476,21.473999977111816,22.53449993133545,23.111333274841307,3693287.0,3959316.9,3920289.65,4387630.133333334,True,True,True,True,False,False
2021-07-27,19.420000076293945,18.799999237060547,19.270000457763672,18.799999237060547,2997373.0,18.799999237060547,20.139999771118163,21.020999908447266,22.283999919891357,22.934999910990395,3664019.4,3952461.6,3894661.5,4326404.3,True,True,True,True,False,False
2021-07-28,18.899999618530277,17.5,18.899999618530277,18.100000381469727,3057174.0,18.100000381469727,19.477999877929687,20.486999893188475,21.988999938964845,22.734999910990396,3741627.6,3883475.4,3900387.05,4309439.4,True,True,True,True,False,True
2021-07-29,18.6200008392334,18.239999771118164,18.38999938964844,18.440000534057617,2703693.0,18.440000534057617,18.89000015258789,20.10599994659424,21.72299995422363,22.567666625976564,3767969.2,3541106.5,3838175.1,4206569.5,False,True,True,False,False,True
2021-07-30,19.149999618530277,18.170000076293945,18.440000534057617,19.0,3923992.0,19.0,18.690000152587892,19.876000022888185,21.511499977111818,22.410999933878582,3322598.8,3366316.0,3871692.85,4201185.766666667,False,False,True,True,False,True
2021-08-02,19.399999618530277,18.780000686645508,19.020000457763672,19.13999938964844,3298462.0,19.13999938964844,18.695999908447266,19.67899990081787,21.312499904632567,22.243999926249185,3196138.8,3444712.9,3898530.55,4175980.066666667,False,False,True,False,False,True
